week,scaled_index_rate
2016-10-07,64.53504854195265
2016-10-14,62.55091649039826
2016-10-21,66.15003974670621
2016-10-28,69.25082285983306
2016-11-04,74.31728098217427
2016-11-11,78.87617044016434
2016-11-18,75.47084612842681
2016-11-25,73.61591337325272
2016-12-02,67.97728693837026
2016-12-09,62.49554536337814
2016-12-16,64.83958974056333
2016-12-23,66.00238340798589
2016-12-30,70.3028742732154
2017-01-06,77.79643346327195
2017-01-13,76.9566380368001
2017-01-20,80.31581974268752
2017-01-27,79.63290917610601
2017-02-03,79.74365143014626
2017-02-10,78.88539896133436
2017-02-17,73.86508344484326
2017-02-24,70.96732779745686
2017-03-03,68.96473870356243
2017-03-10,66.72220805924748
2017-03-17,67.05443482136822
2017-03-24,62.22791824944754
2017-03-31,61.2589235265954
2017-04-07,65.35638692608447
2017-04-14,62.154090080087386
2017-04-21,60.41912810012355
2017-04-28,60.64984112937406
2017-05-05,62.04334782604713
2017-05-12,61.194323878405264
2017-05-19,62.846229167838914
2017-05-26,62.82777212549887
2017-06-02,62.83700064666889
2017-06-09,65.6886136882052
2017-06-16,64.7842186135432
2017-06-23,66.06698305617603
2017-06-30,65.18104502385407
2017-07-07,63.63065346729065
2017-07-14,63.75985276367093
2017-07-21,64.39662072440234
2017-07-28,64.6457907959929
2017-08-04,65.153359460344
2017-08-11,66.048526013836
2017-08-18,66.85140735562777
2017-08-25,66.44535242414688
2017-09-01,66.89754996147786
2017-09-08,69.64764927014394
2017-09-15,69.20468025398297
2017-09-22,70.8473570222466
2017-09-29,65.71629925171526
2017-10-06,61.545007682866036
2017-10-13,55.43572666831254
2017-10-20,54.605159763010704
2017-10-27,53.31316679920785
2017-11-03,57.71517139730757
2017-11-10,59.87464535109234
2017-11-17,56.24783653127433
2017-11-24,55.02967173683163
2017-12-01,56.820004843815596
2017-12-08,57.346030550506754
2017-12-15,53.33162384154788
2017-12-22,56.45086399701478
2017-12-29,55.53724040118275
2018-01-05,61.20355239957529
2018-01-12,61.923377050836876
2018-01-19,60.732897819904245
2018-01-26,61.775720712116545
2018-02-02,62.39403163050792
2018-02-09,64.81190417705325
2018-02-16,63.612196424950604
2018-02-23,64.6457907959929
2018-03-02,62.08026191072722
2018-03-09,58.12122632878847
2018-03-16,55.45418371065257
2018-03-23,53.23933862984767
2018-03-30,52.362629118695736
2018-04-06,48.449736142607094
2018-04-13,49.88015692396025
2018-04-20,51.82737489083456
2018-04-27,52.24265834348548
2018-05-04,55.72181082458316
2018-05-11,58.18582597697861
2018-05-18,57.585972100927286
2018-05-25,56.976889703705936
2018-06-01,56.626205899245164
2018-06-08,61.17586683606522
2018-06-15,59.893102393432386
2018-06-22,58.91487914941022
2018-06-29,57.91819886304802
2018-07-06,68.57714081442158
2018-07-13,66.74989362275754
2018-07-20,65.23641615087419
2018-07-27,66.08544009851607
2018-08-03,70.09061828630493
2018-08-10,73.8373978813332
2018-08-17,72.7945749891209
2018-08-24,74.66796478663504
2018-08-31,74.70487887131513
2018-09-07,79.08842642707481
2018-09-14,75.94150070809786
2018-09-21,75.75693028469745
2018-09-28,75.38778943789663
2018-10-05,74.53876549025476
2018-10-12,73.43134294985231
2018-10-19,71.83480878743877
2018-10-26,73.93891161420343
2018-11-02,75.35087535321655
2018-11-09,77.46420670115123
2018-11-16,75.34164683204654
2018-11-23,75.38778943789663
2018-11-30,73.5605422462326
2018-12-07,75.81230141171757
2018-12-14,71.17035526319732
2018-12-21,66.38075277595672
2018-12-28,65.26410171438427
2019-01-04,69.88759082056447
2019-01-11,71.94555104147902
2019-01-18,72.68383273508066
2019-01-25,73.94814013537345
2019-02-01,73.28368661113198
2019-02-08,71.05961300915706
2019-02-15,72.61923308689052
2019-02-22,69.74916300301416
2019-03-01,68.37411334868113
2019-03-08,65.51327178597481
2019-03-15,62.63397318092845
2019-03-22,59.05330696696053
2019-03-29,59.98538760513259
2019-04-05,63.464540086230286
2019-04-12,63.60296790378059
2019-04-19,61.545007682866036
2019-04-26,61.572693246376105
2019-05-03,64.05516544111158
2019-05-10,64.93187495226353
2019-05-17,63.04925663357937
2019-05-24,59.79158866056216
2019-05-31,59.468590419611445
2019-06-07,62.846229167838914
2019-06-14,61.821863317966645
2019-06-21,60.28992880374326
2019-06-28,60.779040425754346
2019-07-05,63.72293867899085
2019-07-12,64.57196262663273
2019-07-19,63.37225487453008
2019-07-26,61.9326055720069
2019-08-02,62.34788902465781
2019-08-09,64.37816368206231
2019-08-16,61.72034958509642
2019-08-23,62.338660503487795
2019-08-30,62.29251789763769
2019-09-06,64.38739220323232
2019-09-13,62.56014501156828
2019-09-20,60.25301471906318
2019-09-27,59.044078445790504
2019-10-04,58.564195344949454
2019-10-11,57.17991716944639
2019-10-18,57.069174915406144
2019-10-25,57.15223160593632
2019-11-01,57.32757350816672
2019-11-08,61.166638314895195
2019-11-15,62.85545768900894
2019-11-22,61.055896060854955
2019-11-29,59.52396154663157
2019-12-06,60.686755214054145
2019-12-13,64.1105365681317
2019-12-20,66.03006897149595
2019-12-27,66.73143658041751
2020-01-03,67.44203271050907
2020-01-10,71.76098061807862
2020-01-17,72.95145984901124
2020-01-24,71.47489646180799
2020-01-31,69.84144821471438
2020-02-07,67.70965982443967
2020-02-14,66.57455172052715
2020-02-21,62.31097493997773
2020-02-28,61.40657986531573
2020-03-06,62.661658744438505
2020-03-13,62.006433741367054
2020-03-20,63.519911213250396
2020-03-27,64.58119114780274
2020-04-03,66.1038971408561
2020-04-10,67.95882989603021
2020-04-17,67.70965982443967
2020-04-24,66.39920981829677
2020-05-01,66.98060665200805
2020-05-08,68.59559785676161
2020-05-15,68.60482637793164
2020-05-22,67.88500172667005
2020-05-29,67.34974749880887
2020-06-05,71.78866618158868
2020-06-12,77.23349367190072
2020-06-19,81.5708986218103
2020-06-26,82.35532292126203
2020-07-03,83.62885884272485
2020-07-10,85.79756131767965
2020-07-17,83.79497222378522
2020-07-24,82.08769580733144
2020-07-31,81.31250002904973
2020-08-07,84.35791201515646
2020-08-14,85.27153561098848
2020-08-21,88.25234794890507
2020-08-28,89.78428246312845
2020-09-04,93.78023212974729
2020-09-11,97.44395503424539
2020-09-18,100.31402511812173
2020-09-25,103.67320682400917
2020-10-02,103.8300916838995
2020-10-09,103.45172231592866
2020-10-16,103.00875329976769
2020-10-23,102.8795540033874
